question-word,correct-word,guess-word,result
enormously,tremendously,tremendously,True
provisions,stipulations,stipulations,True
haphazardly,randomly,randomly,True
prominent,conspicuous,conspicuous,True
zenith,pinnacle,pinnacle,True
flawed,imperfect,imperfect,True
urgently,desperately,desperately,True
consumed,eaten,eaten,True
advent,coming,coming,True
concisely,succinctly,succinctly,True
salutes,greetings,ceremonies,False
solitary,alone,restless,False
hasten,accelerate,accelerate,True
perseverance,endurance,generosity,False
fanciful,imaginative,imaginative,True
showed,demonstrated,demonstrated,True
constantly,continually,continually,True
issues,subjects,subjects,True
furnish,supply,impress,False
costly,expensive,expensive,True
recognized,acknowledged,acknowledged,True
spot,location,location,True
make,earn,earn,True
often,frequently,frequently,True
easygoing,relaxed,relaxed,True
debate,argument,argument,True
narrow,thin,thin,True
arranged,planned,planned,True
infinite,limitless,limitless,True
showy,striking,prickly,False
levied,imposed,imposed,True
deftly,skillfully,skillfully,True
distribute,circulate,commercialize,False
discrepancies,differences,differences,True
prolific,productive,productive,True
unmatched,unequaled,unequaled,True
peculiarly,uniquely,uniquely,True
hue,color,color,True
hind,rear,rear,True
highlight,accentuate,accentuate,True
hastily,hurriedly,hurriedly,True
temperate,mild,mild,True
grin,smile,smile,True
verbally,orally,orally,True
physician,doctor,doctor,True
essentially,basically,basically,True
keen,sharp,useful,False
situated,positioned,positioned,True
principal,major,major,True
slowly,gradually,gradually,True
built,constructed,constructed,True
tasks,jobs,jobs,True
unlikely,improbable,improbable,True
halfheartedly,apathetically,apathetically,True
annals,chronicles,chronicles,True
wildly,furiously,furiously,True
hailed,acclaimed,remembered,False
command,mastery,mastery,True
concocted,devised,devised,True
prospective,potential,potential,True
generally,broadly,broadly,True
sustained,prolonged,prolonged,True
perilous,dangerous,dangerous,True
tranquillity,peacefulness,happiness,Guess
dissipate,disperse,disperse,True
primarily,chiefly,chiefly,True
colloquial,conversational,conversational,True
resolved,settled,settled,True
feasible,possible,possible,True
expeditiously,rapidly,rapidly,True
percentage,proportion,proportion,True
terminated,ended,postponed,False
uniform,alike,alike,True
figure,solve,solve,True
sufficient,enough,enough,True
fashion,manner,manner,True
marketed,sold,sold,True
bigger,larger,larger,True
roots,origins,origins,True
normally,ordinarily,ordinarily,True
